,Time,Name,Date
0,1:01.30,Robert Bennett,8/19/1961
1,1:01.00,Thomas Stock,8/11/1962
2,1:00.90,Thomas Stock,8/12/1962
3,1:00.90,Rich McGeagh,8/18/1963
4,1:00.00,Thompson Mann,9/3/1964
5,59.60,Thompson Mann,10/16/1964
6,59.50,Doug Russell,8/28/1967
7,59.30,Charles Hickcox,8/28/1967
8,59.10,Charles Hickcox,8/31/1967
9,58.50,Michael Stamm,8/22/1970
10,58.20,Charlie Campbell,9/4/1971
11,58.15,Mitch Ivey,8/28/1972
12,57.99,Mitch Ivey,8/28/1972
13,57.70,Mark Spitz,8/29/1972
14,57.56,John Naber,8/21/1975
15,57.35,John Naber,8/22/1975
16,56.80,John Naber,7/19/1976
17,56.19,John Naber,7/19/1976
18,55.49,John Naber,7/19/1976
19,55.44,Rick Carey,8/6/1983
20,55.38,Rick Carey,8/6/1983
21,55.19,Rick Carey,8/21/1983
22,54.95,Dave Berkoff,8/13/1988
23,54.91,Dave Berkoff,8/13/1988
24,54.51,Dave Berkoff,9/24/1988
25,53.93,Jeff Rouse,8/22/1991
26,53.86,Jeff Rouse,7/31/1992
27,53.60,Lenny Krayzelburg,8/24/1999
28,53.45,Aaron Peirsol,8/21/2004
29,53.17,Aaron Peirsol,4/2/2005
30,52.98,Aaron Peirsol,3/25/2007
31,52.89,Aaron Peirsol,6/29/2008
32,52.54,Aaron Peirsol,8/9/2008
33,51.94,Aaron Peirsol,7/8/2009
34,51.85,Ryan Murphy,8/13/2016
