,Time,Name,Date
0,59.0,Lance Larson,6/29/1960
1,58.7,Lance Larson,7/24/1960
2,58.6,Fred Schmidt,8/20/1961
3,57.8,Walter Richardson,8/24/1963
4,57.5,Walter Richardson,7/31/1964
5,56.3,Mark Spitz,7/31/1967
6,56.3,Doug Russell,8/29/1967
7,55.7,Mark Spitz,10/7/1967
8,55.6,Mark Spitz,8/30/1968
9,55.0,Mark Spitz,8/25/1971
10,54.72,Mark Spitz,8/4/1972
11,54.56,Mark Spitz,8/4/1972
12,54.27,Mark Spitz,8/31/1972
13,54.18,Joseph Bottom,8/27/1977
14,53.81,William Paulus,4/3/1981
15,53.44,Matt Gribble,8/6/1983
16,53.38,Pablo Morales,6/26/1984
17,53.23,Pablo Morales,7/30/1984
18,52.84,Pablo Morales,6/23/1986
19,52.76,Neil Walker,8/12/1997
20,52.44,Ian Crocker,9/22/2000
21,52.25,Ian Crocker,7/26/2001
22,51.88,Michael Phelps,8/16/2002
23,51.84,Michael Phelps,4/6/2003
24,51.47,Michael Phelps,7/25/2003
25,50.98,Ian Crocker,7/26/2003
26,50.76,Ian Crocker,7/13/2004
27,50.4,Ian Crocker,7/30/2005
28,50.22,Michael Phelps,7/9/2009
29,49.82,Michael Phelps,8/1/2009
30,49.5,Caeleb Dressel,7/26/2019
31,49.45,Caeleb Dressel,7/31/2021
