,Time,Name,Date
0,4:08.80,Mark Spitz,7/7/1967
1,4:08.20,Greg Charlton,8/28/1967
2,4:07.70,Mark Spitz,6/23/1968
3,4:06.60,Mike Burton,8/1/1968
4,4:02.80,John Kinsella,8/20/1970
5,4:02.10,Thomas McBreen,8/25/1971
6,4:00.11,Kurt Krumpholz,8/4/1972
7,3:58.18,Rick DeMont,9/6/1973
8,3:56.96,Tim Shaw,8/22/1974
9,3:54.69,Tim Shaw,8/22/1974
10,3:53.95,Tim Shaw,6/19/1975
11,3:53.31,Tim Shaw,8/20/1975
12,3:53.08,Brian Goodell,6/18/1976
13,3:51.93,Brian Goodell,7/22/1976
14,3:51.56,Brian Goodell,8/27/1977
15,3:51.03,George DiCarlo,6/28/1984
16,3:49.41,Dan Jorgensen,6/25/1986
17,3:48.06,Matt Cetlinski,8/11/1988
18,3:47.18,Klete Keller,8/9/2000
19,3:47.00,Klete Keller,9/16/2000
20,3:46.73,Michael Phelps,8/8/2003
21,3:44.19,Klete Keller,7/7/2004
22,3:44.11,Klete Keller,8/14/2004
23,3:43.82,Peter Vanderkaay,5/15/2008
24,3:43.53,Larsen Jensen,6/29/2008
25,3:42.78,Larsen Jensen,8/10/2008
