,Time,Name,Date
0,2:14.90,Dick Roth,8/15/1965
1,2:12.40,Greg Buckingham,8/21/1966
2,2:11.30,Greg Buckingham,8/23/1967
3,2:10.60,Charles Hickcox,8/31/1968
4,2:09.60,Gary Hall,8/17/1969
5,2:09.50,Gary Hall,8/23/1970
6,2:09.30,Gary Hall,8/6/1972
7,2:08.37,Tim McKee,9/3/1972
8,2:06.80,Bruce Furniss,8/23/1975
9,2:06.32,Steven Furniss,9/1/1974
10,2:04.39,Steve Lundquist,8/2/1978
11,2:03.29,Jesse Vassallo,7/6/1979
12,2:03.24,Bill Barrett,8/1/1980
13,2:03.24,Bill Barrett,8/5/1983
14,2:03.24,Steve Lundquist,8/5/1983
15,2:02.68,Bill Barrett,8/28/1983
16,2:02.23,Pablo Morales,6/27/1986
17,2:00.98,Dave Wharton,8/13/1988
18,2:00.11,Dave Wharton,8/20/1989
19,1:59.77,Tom Dolan,9/21/2000
20,1:58.68,Michael Phelps,8/12/2002
21,1:57.94,Michael Phelps,6/29/2003
22,1:57.52,Michael Phelps,7/24/2003
23,1:56.04,Michael Phelps,7/25/2003
24,1:55.94,Michael Phelps,8/9/2003
25,1:55.84,Michael Phelps,8/20/2006
26,1:54.98,Michael Phelps,3/29/2007
27,1:54.80,Michael Phelps,7/4/2008
28,1:54.23,Michael Phelps,8/15/2008
29,1:54.10,Ryan Lochte,7/26/2009
30,1:54.00,Ryan Lochte,7/28/2011
