RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,1:51.51,Michael Phelps,US,UN,,2009 World Champs,7/29/2009,Rome
2,1:52.03,Michael Phelps,US,UN,,2008 Olympic Games,8/9/2008,
3,1:52.09,Michael Phelps,US,CW,,2007 World Champs,3/25/2007,
4,1:53.80,Michael Phelps,US,CW,,2006 Pan Pacific Champs,8/17/2006,
5,1:53.93,Michael Phelps,US,NBAC,,2003 World Champs,7/20/2003,
6,1:54.58,Michael Phelps,US,NBAC,,2001 World Champs,7/24/2001,
7,1:54.92,Michael Phelps,US,NBAC,,2001 Spring Nationals,3/30/2001,
8,1:55.18,Tom Malchow,OR,MAC,,2000 US Charlotte UltraSwim,6/17/2000,
9,1:55.41,Tom Malchow,OR,MAC,,Pan Pacs,8/25/1999,
10,1:55.69,Mel Stewart,US,UN,,1991 World Champs,1/12/1991,
11,1:57.05,Mel Stewart,US,UN,,,7/21/1990,
12,1:57.75,Pablo Morales,MW,UN,,1984 Olympic Games,8/3/1984,
13,1:58.01,Craig Beardsley,US,UN,,,8/22/1981,
14,1:58.21,Craig Beardsley,US,UN,,,7/30/1980,
15,1:59.23,Mike Bruner,US,UN,,1976 Olympic Games,7/18/1976,
16,2:00.70,Mark Spitz,US,UN,,1972 Olympic Games,8/28/1972,
17,2:01.53,Mark Spitz,US,UN,,1972 Olympic Trials,8/2/1972,
18,2:01.87,Mark Spitz,US,UN,,,8/2/1972,
19,2:03.90,Mark Spitz,US,UN,,,8/27/1971,
20,2:05.00,Gary Hall,AZ,PSC,,,8/22/1970,
21,2:05.40,Mark Spitz,US,UN,,,8/22/1970,
22,2:05.70,Mark Spitz,US,UN,,,10/8/1967,
23,2:06.00,John Ferris,US,UN,,,8/30/1967,
24,2:06.40,Mark Spitz,US,UN,,1967 Men's National Champs,8/12/1967,
24,2:06.40,Mark Spitz,US,UN,,1967 Men's National Champs,7/26/1967,
26,2:07.50,Carl Robie,US,UN,,1964 Olympic Games,10/16/1964,
27,2:08.20,Carl Robie,US,UN,,,8/18/1963,
28,2:10.80,Carl Robie,US,UN,,1962 Men's National Champs,8/11/1962,
