,Time,Name,Club,Date
0,3:26.8,Jose Baltazar Tavares,lgc,22.07.67
1,3:12.6,Eduardo Pereira dos Santos,jsc,23.07.67
2,2:46.7,Joaquim Ferreira Alves,sad,02.09.67
3,2:40.4,Francisco Bessone Alves,sad,01.08.68
4,2:39.3,Julio Pais Ribeiro,gdlm,18.08.68
5,2:36.1,Joaquim Ferreira Alves,sad,24.08.68
6,2:35.5,Francisco Bessone Alves,fpn,20.07.69
7,2:35.2,Francisco Bessone Alves,fpn,05.08.71
8,2:34.9,Francisco Bessone Alves,ind,28.08.71
9,2:33.3,Carlos Alberto Oliveira,fpn,27.07.72
10,2:33.1,Francisco Bessone Alves,ind,19.08.72
11,2:32.8,Francisco Bessone Alves,anl,15.04.73
12,2:29.9,Henrique Carvalho Vicencio,slb,11.07.73
13,2:28.2,Henrique Carvalho Vicencio,slb,08.08.73
14,2:28.1,Henrique Carvalho Vicencio,slb,01.07.74
15,2:26.3,Henrique Carvalho Vicencio,slb,09.08.74
16,2:23.9,Paulo Jose Frischknecht,sad,02.08.75
17,2:23.94,Paulo Jose Frischknecht,fpn,08.08.75
18,2:22.03,Rui Pinto Abreu,fpn,05.08.76
19,2:19.8,Rui Pinto Abreu,cac,14.08.76
20,2:17.41,Rui Pinto Abreu,fpn,18.08.77
21,2:16.21,Rui Pinto Abreu,fpn,17.06.78
22,2:15.82,Rui Pinto Abreu,cac,07.08.78
23,2:15.26,Rui Pinto Abreu,fpn,17.08.78
24,2:12.87,Rui Pinto Abreu,fpn,24.08.78
25,2:12.66,Rui Pinto Abreu,fpn,27.05.79
26,2:12.59,Rui Paulo Borges,fpn,11.08.85
27,2:12.53,Vasco Castro Sousa,fpn,15.02.86
28,2:12.52,Vasco Castro Sousa,fpn,15.02.86
29,2:12.40,Rui Paulo Borges,fcp,01.03.86
30,2:11.28,Rui Paulo Borges,fcp,01.08.86
31,2:10.23,Vasco Castro Sousa,fpn,23.08.86
32,2:10.21,Diogo Castro Madeira,fpn,25.09.88
33,2:09.65,Diogo Castro Madeira,fpn,20.08.89
34,2:09.64,Diogo Castro Madeira,fpn,06.04.90
35,2:09.03,Rui Paulo Borges,fcp,09.08.91
36,2:08.56,Diogo Castro Madeira,fpn,15.03.92
37,2:07.38,Diogo Castro Madeira,fpn,31.07.92
38,2:06.81,Nuno Filipe Laurentino,sad,10.01.99
39,2:06.44,Nuno Filipe Laurentino,sad,28.07.00
40,2:05.87,Ricardo Jorge Coxo,sfuap,24.03.01
41,2:02.80,Nuno Filipe Laurentino,sad,11.05.02
42,2:02.41,Diogo Filipe Carvalho,fpn,12.04.07
43,2:00.40,Diogo Filipe Carvalho,fpn,19.03.08
44,1:59.96,Diogo Filipe Carvalho,fpn,05.04.09
45,1:59.54,Diogo Filipe Carvalho,fpn,07.04.11
46,1:59.51,Diogo Filipe Carvalho,fpn,27.07.11
47,1:59.39,Diogo Filipe Carvalho,fpn,31.07.13
48,1:58.88,Alexis Manacas Santos,scp,01.04.17
49,1:58.59,Gabriel Jose Lopes,aln,06.04.19
50,1.58.19,Alexis Manacas Santos,scp,06.04.19
