,Time,Name,Club,Date
0,0:24.03,Sergio Alexandre Esteves,fpn,02.05.87
1,0:23.9,Paulo Manuel Trindade,fcp,22.07.88
2,0:23.81,Paulo Manuel Trindade,fpn,11.08.90
3,0:23.67,Paulo Manuel Trindade,fpn,02.12.90
4,0:23.47,Paulo Manuel Trindade,fpn,09.01.91
5,0:23.42,Paulo Manuel Trindade,fpn,20.07.91
6,0:23.18,Pedro Nuno Silva,abve,20.05.00
7,0:23.06,Pedro Nuno Silva,abve,27.07.00
8,0:22.92,Pedro Nuno Silva,abve,28.07.00
9,0:22.86,Pedro Nuno Silva,fpn,03.08.02
10,0:22.86,Paulo Jorge Santos,fcp,30.03.08
11,0:22.44,Alexandre Escudier Agostinho,portin,28.03.09
12,0:22.36,Alexandre Escudier Agostinho,portin,30.05.09
13,0:22.36,Alexandre Escudier Agostinho,fpn,31.07.09
14,0:22.17,Miguel Duarte Nascimento,slb,05.04.19
15,0:22.16,Miguel Duarte Nascimento,slb,19.12.20
16,0:22.16,Miguel Duarte Nascimento,slb,01.04.22
17,0:22.01,Miguel Duarte Nascimento,fpn,04.07.22
18,0:22.01,Miguel Duarte Nascimento,slb,29.07.22
19,0:21.91,Miguel Duarte Nascimento,slb,30.07.22
