,Time,Name,Club,Date
0,1:08.6,Luis Vaz Jorge,fpn,31.08.60
1,1:04.4,Vitor Manuel Fonseca,fpn,01.08.63
2,1:01.8,Vitor Manuel Fonseca,indu,29.08.67
3,1:01.55,Paulo Jose Frischknecht,fcp,23.01.76
4,1:01.20,Paulo Jose Frischknecht,fpn,08.08.76
5,0:59.98,Paulo Jose Frischknecht,fpn,18.08.77
6,0:59.52,Paulo Jose Frischknecht,fpn,26.08.78
7,0:59.39,Paulo Jose Frischknecht,fpn,27.05.79
8,0:57.94,Paulo Jose Frischknecht,fpn,22.07.80
9,0:57.87,Joao Mendes Santos,fpn,23.08.83
10,0:57.61,Joao Mendes Santos,fpn,18.08.86
11,0:57.33,Mabilio Antonio Albuquerque,fpn,01.04.88
12,0:57.0,Paulo Antonio Camacho,fpn,01.04.88
13,0:56.79,Paulo Antonio Camacho,cnf,25.03.89
14,0:56.78,Paulo Antonio Camacho,fpn,01.12.90
15,0:56.66,Paulo Antonio Camacho,cnf,24.07.93
16,0:56.49,Paulo Antonio Camacho,cnf,24.07.93
17,0:56.45,Miguel Mendonca Cabrita,fpn,04.08.93
18,0:56.44,Simao Gomes Morgado,fpn,31.07.97
19,0:56.25,Simao Gomes Morgado,cna,01.08.98
20,0:55.62,Nuno Filipe Laurentino,sad,09.01.99
21,0:55.52,Simao Gomes Morgado,fpn,11.04.99
22,0:55.45,Simao Gomes Morgado,fpn,30.07.99
23,0:55.19,Simao Gomes Morgado,cna,07.08.99
24,0:55.13,Simao Gomes Morgado,fpn,07.04.00
25,0:54.92,Simao Gomes Morgado,fpn,28.05.00
26,0:54.91,Simao Gomes Morgado,fpn,28.05.00
27,0:54.69,SimaoGomes Morgado,fpn,07.07.00
28,0:54.68,Simao Gomes Morgado,cna,25.03.01
29,0:54.64,Simao Gomes Morgado,fpn,25.07.01
30,0:54.44,Ricardo Jorge Coxo,fpn,14.04.02
31,0:54.40,Nuno Filipe Laurentino,sad,10.05.02
32,0:54.27,Simao Gomes Morgado,fpn,02.08.02
33,0:53.79,Simao Gomes Morgado,fpn,02.08.02
34,0:53.69,Simao Gomes Morgado,fpn,15.05.04
35,0:53.53,Simao Gomes Morgado,fpn,19.08.04
36,0:53.14,Simao Gomes Morgado,fpn,22.03.08
37,0:52.80,Simao Gomes Morgado,fpn,14.08.08
38,0:52.42,Diogo Filipe Carvalho,cga,29.03.09
39,0:52.31,Diogo Matos Ribeiro,slb,17.04.22
40,0:51.61,Diogo Matos Ribeiro,fpn,13.08.22
