Time,Name,Club,Date,Place
2:21.1 Eduardo José de Sousa fpn 30.08.60 Roma
2:16.5 Herlander Felga Ribeiro fpn 01.08.63 Belém
2:14.5 João Repas Gonçalves sad 24.08.68 Beja
2:13.1 Fernando Rosa Jorge ind 28.08.71 Coimbra
2:11.2 José Gomes Pereira sad 16.08.73 Coimbra
2:10.1 José Gomes Pereira fpn 13.04.74 Leeds
2:08.9 José Gomes Pereira sad 29.06.74 Tróia
2:07.8 José Gomes Pereira fpn 19.08.74 Viena
2:07.0 Paulo José Frischknecht sad 03.08.75 Lisboa – Olivais
2:06.9 José Gomes Pereira sad 24.08.75 Coimbra
2:03.03 José Gomes Pereira fpn 19.07.76 Montréal
2:02.65 Paulo José Frischknecht fpn 19.07.76 Montréal
2:02.30 José Gomes Pereira fpn 21.07.76 Montréal
2:00.57 Rui Pinto Abreu fpn 21.05.77 Mulhouse
1:57.74 Rui Pinto Abreu fpn 17.08.77 Jönkoping
1:57.40 Paulo José Frischknecht fpn 17.08.77 Jönkoping
1:57.27 Rui Pinto Abreu fpn 26.03.78 Leeds
1:57.27 Rui Pinto Abreu cac 08.08.78 Lisboa – Olivais
1:56.13 Rui Pinto Abreu fpn 20.08.78 Berlim Ocidental
1:55.97 Rui Pinto Abreu fpn 24.08.78 Berlim Ocidental
1:55.37 Paulo José Frischknecht fpn 06.04.79 Rio de Janeiro
1:55.06 Paulo José Frischknecht fpn 21.07.80 Moscovo
1:53.81 Miguel Mendonça Cabrita fpn 03.08.93 Sheffield
1:53.09 Ricardo Conceição Pedroso fpn 19.08.97 Sevilha
1:52.80 Ricardo Conceição Pedroso fpn 06.06.98 Lisboa – E. Universitário
1:52.69 Ricardo Conceição Pedroso sad 18.12.99 Jamor
1:52.29 Ricardo Conceição Pedroso fpn 06.07.00 Helsínquia
1:52.15 Ricardo Conceição Pedroso sad 30.07.00 Lisboa – Restelo
1:51.57 Luís Miguel Monteiro fcp 05.08.01 Loulé
1:50.93 Luís Miguel Monteiro fpn 12.04.03 Luxemburgo
1:50.10 Tiago André Venâncio cns 18.03.05 Jamor
1:49.98 Tiago André Venâncio fpn 14.07.05 Budapeste
1:49.63 Tiago André Venâncio fpn 26.03.07 Melbourne
1:49.02 Tiago André Venâncio fpn 30.03.07 Melbourne
1:48.98 Luis Emanuel Vaz gdnfama 25.07.14 Jamor
1:48.39 Alexis Manaças Santos scp 31.03.17 Coimbra
