"Time,Name,Club,Date,Place"
"10:22.9 Eduardo José de Sousa fpn 02.09.60 Roma"
"10:22.1 Fernando Rosa Jorge sad 18.08.68 Vila Franca de Xira"
"10:18.8 Fernando Rosa Jorge ind 29.08.71 Coimbra"
"10:16.8 Paulo José Frischknecht sad 11.07.73 Lisboa – Olivais"
"09:53.2 António Paulo Vasconcelos cnlu 18.08.73 Coimbra"
"09:49.2 José Guilherme Loureiro cdna 11.03.74 Luanda"
"09:38.9 António Botelho de Melo gdlm 10.08.74 Lisboa – Olivais"
"09:20.5 Paulo José Frischknecht sad 20.07.75 Lisboa – Olivais"
"09:20.0 António Botelho de Melo cac 22.08.75 Coimbra"
"09:14.34 António Botelho de Melo fpn 19.07.76 Montréal"
"09:14.01 José Baltar Leite fpn 20.05.77 Mulhouse"
"09:12.35 José Baltar Leite cfp 07.08.77 Coimbra"
"08:54.54 José Baltar Leite fpn 19.08.77 Jönkoping"
"08:49.30 José Baltar Leite cfp 06.08.78 Lisboa – Olivais"
"08:46.41 José Baltar Leite fpn 24.08.78 Berlim Ocidental"
"08:44.13 José Baltar Leite fpn 08.04.79 Rio de Janeiro"
"08:39.47 José Baltar Leite fpn 01.02.80 Amersfoort"
"08:37.87 José Baltar Leite fpn 16.06.80 Bratislava"
"08:34.49 Rui Paulo Borges fpn 18.03.84 Mérida MEX"
"08:30.46 Artur Manuel Costa fpn 03.05.87 Buenos Aires"
"08:23.92 Artur Manuel Costa fpn 22.08.87 Estrasburgo"
"08:20.54 Artur Manuel Costa fpn 02.12.90 Indianapolis"
"08:18.90 Artur Manuel Costa fpn 21.07.91 Sheffield"
"08:15.24 Artur Manuel Costa fpn 30.07.92 Barcelona"
"08:14.33 Fernando Eurico Costa fpn 20.02.04 Bordéus"
"08:13.78 Fernando Eurico Costa fpn 24.04.04 Dunquerque"
"08:12.35 Fernando Eurico Costa fpn 25.04.04 Dunquerque"
"08:07.83 Fernando Eurico Costa fpn 13.04.05 Nancy"
"08:06.98 Fernando Eurico Costa fpn 26.07.05 Montréal"
"08:06.44 Fernando Eurico Costa fpn 27.03.07 Melbourne"
"08:05.35 Fernando Eurico Costa lsc 29.07.07 Aveiro"
