"Time Name Club Date Place"
"2:28.9 Luís Vaz Jorge fpn 31.08.60 Roma"
"2:18.3 Vítor Manuel Fonseca fpn 18.10.64 Tóquio"
"2:17.7 Vítor Manuel Fonseca indu 30.08.67 Tóquio"
"2:16.43 Paulo José Frischknecht fpn 22.05.77 Mulhouse"
"2:13.23 Vítor Manuel Oliveira fpn 17.06.78 Linz"
"2:11.33 Paulo José Frischknecht fpn 26.04.80 Nancy"
"2:09.51 João Mendes Santos fpn 25.04.81 Guadalupe"
"2:09.41 João Mendes Santos fpn 11.09.81 Split"
"2:06.46 João Mendes Santos fpn 17.04.83 Lisboa – Olivais"
"2:04.89 João Mendes Santos fpn 26.08.83 Roma"
"2:04.72 João Mendes Santos fpn 03.08.84 Los Angeles"
"2:04.37 João Mendes Santos fpn 22.08.86 Madrid"
"2:03.96 João Mendes Santos fpn 22.08.86 Madrid"
"2:03.74 João Mendes Santos fpn 22.08.87 Estrasburgo"
"2:03.36 Diogo Castro Madeira fpn 15.03.92 Sarcelles"
"2:03.15 Miguel Mendonça Cabrita fpn 14.06.92 Charlotte"
"2:02.22 Diogo Castro Madeira fpn 30.07.92 Barcelona"
"2:01.55 Diogo Castro Madeira fpn 26.08.95 Viena"
"2:01.21 Diogo Castro Madeira fpn 26.08.95 Viena"
"2:01.08 Simão Gomes Morgado fpn 31.07.02 Berlim"
"1:59.99 Luís Miguel Monteiro fpn 31.07.02 Berlim"
"1:59.67 Diogo Filipe Carvalho fpn 27.03.07 Melbourne"
"1:59.00 Pedro Diogo Oliveira fpn 20.03.08 Eindhoven"
"1:57.41 Pedro Diogo Oliveira fpn 11.08.08 Pequim"
"1:56.71 Diogo Filipe Carvalho fpn 02.04.09 Málaga"
"1:56.17 Pedro Fontoura Oliveira fpn 28.07.09 Roma"
