,Time,Name,Nationality,Date
0,25.13,Jeff Rouse,United States,15 Apr 1993
1,24.99,Lenny Krayzelburg,United States,28 Aug 1999
2,24.8,Thomas Rupprath,Germany,27 jul. 2003
3,24.47,Liam Tancock,Great Britain,2 Apr 2008
4,24.33,Randall Bal,United States,5 Dec 2008
5,24.08,Liam Tancock,Great Britain,1 Aug 2009
6,24.04,Liam Tancock,Great Britain,2 Aug 2009
7,24.0,Kliment Kolesnikov,Russia,4 Aug 2018
8,23.93,Kliment Kolesnikov,Russia,17 May 2021
9,23.8,Kliment Kolesnikov,Russia,18 May 2021
10,23.71,Hunter Armstrong,United States,28 April 2022
