,Time,Name,Nationality,Date
0,11:25.4,Henry Taylor,Great Britain,"jul. 21, 1906"
1,11:24.2,Norman Ross,United States,"jan. 10, 1920"
2,11:05.2,Boy Charlton,Australia,"jan. 13, 1923"
3,10:51.8,Boy Charlton,Australia,"jan. 19, 1924"
4,10:43.6,Arne Borg,Sweden,"Apr 11, 1924"
5,10:37.4,Arne Borg,Sweden,"Aug 25, 1925"
6,10:32.0,Boy Charlton,Australia,"jan. 8, 1927"
7,10:22.2,Johnny Weissmuller,United States,"jul. 27, 1927"
8,10:19.6,Jean Taris,France,"May 30, 1930"
9,10:17.2,Jean Taris,France,"jun. 9, 1931"
10,10:16.6,Shozo Makino,Japan,"Aug 30, 1931"
11,10:15.6,Jean Taris,France,"jun. 21, 1932"
12,10:08.6,Shozo Makino,Japan,"jun. 25, 1933"
13,10:01.2,Shozo Makino,Japan,"Sep 16, 1933"
14,9:55.8,Shozo Makino,Japan,"Sep 15, 1934"
15,9:50.9,Bill Smith,United States,"jul. 24, 1941"
16,9:45.6,Hironoshin Furuhashi,Japan,"jun. 26, 1949"
17,9:45.0,Shiro Hashizume,Japan,"Aug 16, 1949"
18,9:40.7,Hironoshin Furuhashi,Japan,"Aug 16, 1949"
19,9:35.5,Hironoshin Furuhashi,Japan,"Aug 16, 1949"
20,9:30.7,Ford Konno,United States,"jul. 7, 1951"
21,9:15.7,George Breen,United States,"Oct 27, 1956"
22,9:17.7,John Konrads,Australia,"jan. 11, 1958"
23,9:14.5,John Konrads,Australia,"Feb 22, 1958"
24,8:59.6,John Konrads,Australia,"jan. 10, 1959"
25,8:51.5,Murray Rose,Australia,"Aug 26, 1962"
26,8:47.4,Semyon Belits-Geiman,Soviet Union,"Aug 3, 1966"
27,8:47.3,John Bennett,Australia,"jan. 16, 1967"
28,8:46.8,Alain Mosconi,France,"jul. 5, 1967"
29,8:42.0,Francis Luyce,France,"jul. 21, 1967"
30,8:34.3,Mike Burton,United States,"Sep 3, 1968"
31,8:28.8,Mike Burton,United States,"Aug 17, 1969"
32,8:28.6,Graham Windeatt,Australia,"Apr 3, 1971"
33,8:23.8,Brad Cooper,Australia,"jan. 12, 1972"
34,8:17.60,Stephen Holland,Australia,"Aug 5, 1973"
35,8:16.27,Stephen Holland,Australia,"Sep 8, 1973"
36,8:15.88,Stephen Holland,Australia,"jan. 1, 1974"
37,8:15.2,Stephen Holland,Australia,"jan. 17, 1975"
38,8:15.02,Stephen Holland,Australia,"jan. 25, 1975"
39,8:13.68,Tim Shaw,United States,"jun. 21, 1975"
40,8:09.60,Tim Shaw,United States,"jul. 13, 1975"
41,8:06.27,Stephen Holland,Australia,"Feb 27, 1976"
42,8:02.91,Stephen Holland,Australia,"Feb 29, 1976"
43,8:01.54,Bobby Hackett,United States,"jun. 21, 1976"
44,7:56.49,Vladimir Salnikov,Soviet Union,"mar. 23, 1979"
45,7:52.83,Vladimir Salnikov,Soviet Union,"Feb 14, 1982"
46,7:52.23,Vladimir Salnikov,Soviet Union,"jul. 14, 1983"
47,7:50.64,Vladimir Salnikov,Soviet Union,"jul. 4, 1986"
48,7:47.85,Kieren Perkins,Australia,"Aug 25, 1991"
49,7:46.60,Kieren Perkins,Australia,"Feb 16, 1992"
50,7:46.00,Kieren Perkins,Australia,"Aug 24, 1994"
51,7:41.59,Ian Thorpe,Australia,"mar. 26, 2001"
52,7:39.16,Ian Thorpe,Australia,"jul. 24, 2001"
53,7:38.65,Grant Hackett,Australia,"jul. 27, 2005"
54,7:32.12,Zhang Lin,China,"jul. 29, 2009"
