,Time,Name,Date
0,2:09.40,Charles Hickcox,8/29/1967
1,2:08.80,Mitch Ivey,9/1/1968
2,2:08.80,Jack Horsley,9/1/1968
3,2:06.60,Gary Hall,8/14/1969
4,2:06.30,Michael Stamm,8/20/1970
5,2:04.09,Michael Stamm,9/2/1972
6,2:03.55,John Naber,8/22/1974
7,2:03.53,John Naber,8/22/1974
8,2:02.83,John Naber,8/31/1974
9,2:02.52,John Naber,8/20/1975
10,2:02.46,John Naber,6/19/1976
11,2:00.64,John Naber,6/19/1976
12,1:59.19,John Naber,7/24/1976
13,1:58.93,Rick Carey,8/3/1983
14,1:58.86,Rick Carey,6/27/1984
15,1:58.66,Royce Sharp,3/3/1992
16,1:58.33,Tripp Schwenk,8/1/1995
17,1:58.04,Lenny Krayzelburg,8/1/1997
18,1:57.87,Lenny Krayzelburg,8/12/1997
19,1:57.38,Lenny Krayzelburg,8/12/1998
20,1:56.95,Lenny Krayzelburg,3/29/1999
21,1:56.68,Lenny Krayzelburg,8/7/1999
22,1:55.87,Lenny Krayzelburg,8/27/1999
23,1:55.15,Aaron Peirsol,3/20/2002
24,1:54.74,Aaron Peirsol,7/12/2004
25,1:54.66,Aaron Peirsol,7/29/2005
26,1:54.44,Aaron Peirsol,8/19/2006
27,1:54.32,Ryan Lochte,3/30/2007
28,1:54.32,Aaron Peirsol,7/4/2008
29,1:53.94,Ryan Lochte,8/9/2008
30,1:53.08,Aaron Peirsol,7/11/2009
31,1:51.92,Aaron Peirsol,7/31/2009
