,Time,Name,Date
0,2:33.60,Chet Jastremski,7/28/1961
1,2:29.60,Chet Jastremski,8/19/1961
2,2:28.20,Chet Jastremski,8/30/1964
3,2:25.80,Brian Job,7/11/1969
4,2:23.50,Brian Job,8/22/1970
5,2:22.79,John Hencken,8/5/1972
6,2:21.55,John Hencken,9/2/1972
7,2:20.52,John Hencken,8/24/1973
8,2:19.95,John Hencken,9/6/1973
9,2:18.93,John Hencken,8/24/1974
10,2:18.21,John Hencken,9/1/1974
11,2:17.26,John Hencken,7/24/1976
12,2:15.38,Steve Lundquist,8/3/1983
13,2:15.30,Steve Bentley,7/28/1987
14,2:14.99,Steve Bentley,8/16/1987
15,2:13.74,Mike Barrowman,8/11/1988
16,2:12.90,Mike Barrowman,8/4/1989
17,2:12.89,Mike Barrowman,8/20/1989
18,2:11.53,Mike Barrowman,7/20/1990
19,2:11.23,Mike Barrowman,1/11/1991
20,2:10.60,Mike Barrowman,8/13/1991
21,2:10.16,Mike Barrowman,7/29/1992
22,2:09.04,Brendan Hansen,7/7/2004
23,2:08.74,Brendan Hansen,8/1/2006
24,2:08.50,Brendan Hansen,8/17/2006
25,2:08.43,Eric Shanteau,7/7/2009
26,2:07.42,Eric Shanteau,7/29/2009
27,2:07.17,Josh Prenot,6/30/2016
