,Time,Name,Date
0,2:10.80,Carl Robie,8/11/1962
1,2:08.20,Carl Robie,8/18/1963
2,2:07.50,Carl Robie,10/16/1964
3,2:06.40,Mark Spitz,7/26/1967
4,2:06.40,Mark Spitz,8/12/1967
5,2:06.00,John Ferris,8/30/1967
6,2:05.70,Mark Spitz,10/8/1967
7,2:05.40,Mark Spitz,8/22/1970
8,2:05.00,Gary Hall,8/22/1970
9,2:03.90,Mark Spitz,8/27/1971
10,2:01.87,Mark Spitz,8/2/1972
11,2:01.53,Mark Spitz,8/2/1972
12,2:00.70,Mark Spitz,8/28/1972
13,1:59.23,Mike Bruner,7/18/1976
14,1:58.21,Craig Beardsley,7/30/1980
15,1:58.01,Craig Beardsley,8/22/1981
16,1:57.75,Pablo Morales,8/3/1984
17,1:57.05,Mel Stewart,7/21/1990
18,1:55.69,Mel Stewart,1/12/1991
19,1:55.41,Tom Malchow,8/25/1999
20,1:55.18,Tom Malchow,6/17/2000
21,1:54.92,Michael Phelps,3/30/2001
22,1:54.58,Michael Phelps,7/24/2001
23,1:53.93,Michael Phelps,7/20/2003
24,1:53.80,Michael Phelps,8/17/2006
25,1:52.09,Michael Phelps,3/25/2007
26,1:52.03,Michael Phelps,8/9/2008
27,1:51.51,Michael Phelps,7/29/2009
