,Time,Name,Date
0,23.66,Chris Cavanaugh,2/3/1980
1,22.83,Bruce Stahl,4/10/1980
2,22.83,Joseph Bottom,8/15/1980
3,22.71,Joseph Bottom,8/15/1980
4,22.54,Robin Leamy,8/15/1981
5,22.4,Tom Jager,12/7/1985
6,22.33,Matt Biondi,6/26/1986
7,22.32,Tom Jager,8/13/1987
8,22.23,Tom Jager,3/25/1988
9,22.14,Matt Biondi,9/24/1988
10,22.12,Tom Jager,8/20/1989
11,21.98,Tom Jager,3/24/1990
12,21.81,Tom Jager,3/25/1990
13,21.76,Gary Hall,8/9/2000
14,21.59,Cullen Jones,6/29/2008
15,21.47,Garrett Weber-Gale,6/29/2008
16,21.41,Cullen Jones,7/7/2009
17,21.4,Cullen Jones,8/1/2009
18,21.37,Nathan Adrian,8/7/2015
19,21.29,Caeleb Dressel,7/28/2017
20,21.15,Caeleb Dressel,7/29/2017
21,21.04,Caeleb Dressel,7/27/2019
22,21.04,Caeleb Dressel,6/19/2021
