,Time,Name,Date
0,4:31.00,Gary Hall,8/21/1970
1,4:30.81,Gary Hall,8/3/1972
2,4:30.56,Steven Furniss,8/23/1974
3,4:28.11,Tim McKee,6/17/1976
4,4:26.79,Rodney Strachan,6/17/1976
5,4:23.68,Rodney Strachan,7/25/1976
6,4:20.05,Jesse Vassallo,8/22/1978
7,4:18.77,Dave Wharton,6/23/1986
8,4:18.45,Dave Wharton,7/29/1987
9,4:17.81,Dave Wharton,7/29/1987
10,4:16.12,Dave Wharton,8/14/1987
11,4:15.93,Dave Wharton,8/2/1989
12,4:15.78,Eric Namesnik,7/30/1990
13,4:15.57,Eric Namesnik,7/30/1990
14,4:15.21,Eric Namesnik,1/8/1991
15,4:14.50,Eric Namesnik,7/28/1993
16,4:13.52,Tom Dolan,4/1/1994
17,4:12.30,Tom Dolan,9/6/1994
18,4:11.76,Tom Dolan,9/17/2000
19,4:11.09,Michael Phelps,8/15/2002
20,4:10.73,Michael Phelps,4/6/2003
21,4:09.09,Michael Phelps,7/27/2003
22,4:08.41,Michael Phelps,7/7/2004
23,4:08.26,Michael Phelps,8/14/2004
24,4:06.22,Michael Phelps,4/1/2007
25,4:05.25,Michael Phelps,6/29/2008
26,4:03.84,Michael Phelps,8/10/2008
