RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,2:07.17,Josh Prenot,PC,CAL,,2016 Olympic Trials,6/30/2016,"Omaha, NE"
2,2:07.42,Eric Shanteau,US,UN,,2009 World Champs,7/29/2009,Rome
3,2:08.43,Eric Shanteau,US,TXLA,,2009 Summer Nationals,7/7/2009,
4,2:08.50,Brendan Hansen,US,TXLA,,2006 Pan Pacific Champs,8/17/2006,
5,2:08.74,Brendan Hansen,US,TXLA,,2006 Summer Nationals,8/1/2006,
6,2:09.04,Brendan Hansen,US,TXLA,,2004 Olympic Trials,7/7/2004,
7,2:10.16,Mike Barrowman,US,UN,,1992 Olympic Games,7/29/1992,
8,2:10.60,Mike Barrowman,US,UN,,1991 National Champs,8/13/1991,
9,2:11.23,Mike Barrowman,US,UN,,1991 World Champs,1/11/1991,
10,2:11.53,Mike Barrowman,US,UN,,,7/20/1990,
11,2:12.89,Mike Barrowman,US,UN,,,8/20/1989,
12,2:12.90,Mike Barrowman,US,UN,,,8/4/1989,
13,2:13.74,Mike Barrowman,US,UN,,1988 Olympic Trials,8/11/1988,
14,2:14.99,Steve Bentley,US,UN,,,8/16/1987,
15,2:15.30,Steve Bentley,US,UN,,1987 National Champs,7/28/1987,
16,2:15.38,Steve Lundquist,US,UN,,1983 National Champs,8/3/1983,
17,2:17.26,John Hencken,US,UN,,1976 Olympic Games,7/24/1976,
18,2:18.21,John Hencken,US,UN,,,9/1/1974,
19,2:18.93,John Hencken,US,UN,,1974 National Champs,8/24/1974,
20,2:19.95,John Hencken,US,UN,,1973 World Champs,9/6/1973,
21,2:20.52,John Hencken,US,UN,,1973 National Champs,8/24/1973,
22,2:21.55,John Hencken,US,UN,,1972 Olympic Games,9/2/1972,
23,2:22.79,John Hencken,US,UN,,,8/5/1972,
24,2:23.50,Brian Job,US,UN,,,8/22/1970,
25,2:25.80,Brian Job,US,UN,,,7/11/1969,
26,2:28.20,Chet Jastremski,US,UN,,,8/30/1964,
27,2:29.60,Chet Jastremski,US,UN,,1961 Men's National Champs,8/19/1961,
28,2:33.60,Chet Jastremski,US,UN,,,7/28/1961,
