RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,7:39.36,Bobby Finke,FL,UN,,2022 World Champs,6/21/2022,Budapest
2,7:41.87,Bobby Finke,FL,UN,,2020 Olympic Games,7/29/2021,Tokyo
3,7:42.72,Bobby Finke,FL,UN,,2020 Olympic Games,7/27/2021,Tokyo
4,7:43.60,Michael McBroom,BD,UN,,2013 World Champs,7/31/2013,Barcelona
5,7:45.63,Larsen Jensen,CA,TROJ,,2005 World Champs,7/24/2005,Montreal
6,7:48.09,Larsen Jensen,CA,MVN,,2003 World Champs,7/20/2003,
7,7:52.05,Larsen Jensen,CA,TROJ,,2002 Pan Pacifics Champs,8/25/2002,
8,7:52.45,Sean Killion,MA,UN,,1987 National Champs,7/27/1987,
9,7:58.24,John Mykkanen,CA,NOVA,,1984 National Champs,8/14/1984,
10,7:58.31,Jeff Kostoff,MN,PSC,,1983 National Champs,8/3/1983,
11,7:58.50,Tony Corbisiero,US,UN,,1982 National Champs,8/18/1982,
12,7:59.66,Brian Goodell,US,UN,,1980 National Champs,7/29/1980,
13,8:01.54,Bobby Hackett,US,UN,,,6/21/1976,
14,8:09.60,Tim Shaw,IL,EST,,,7/13/1975,
15,8:13.68,Tim Shaw,IL,EST,,,6/21/1975,
16,8:16.80,Tim Shaw,IL,EST,,,8/24/1974,
17,8:21.18,Rick DeMont,AZ,FORD,,,9/6/1973,
18,8:25.86,Mike Burton,MT,UN,,,9/4/1972,
19,8:28.80,Mike Burton,MT,UN,,,8/17/1969,
20,8:34.30,Mike Burton,IL,ELY,,,9/3/1968,
21,8:48.80,Mike Burton,IL,ELY,,,8/21/1967,
22,8:55.40,Carl Robie,US,UN,,,8/5/1965,
23,9:00.80,Steven Krause,US,UN,,,7/15/1965,
24,9:02.70,Roy Saari,US,UN,,,9/2/1964,
25,9:03.80,Michael Wall,US,UN,,,8/2/1964,
26,9:04.00,Don Schollander,US,UN,,,8/28/1963,
