RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,4:03.84,Michael Phelps,US,UN,,2008 Olympic Games,8/10/2008,Beijing
2,4:05.25,Michael Phelps,US,CW,,2008 Olympic Trials,6/29/2008,
3,4:06.22,Michael Phelps,US,CW,,2007 World Champs,4/1/2007,
4,4:08.26,Michael Phelps,US,UN,,2004 Olympic Games,8/14/2004,
5,4:08.41,Michael Phelps,US,NBAC,,2004 Olympic Trials,7/7/2004,
6,4:09.09,Michael Phelps,US,NBAC,,2003 World Champs,7/27/2003,
7,4:10.73,Michael Phelps,US,NBAC,,2003 Mutual of Omaha Duel in the Pool,4/6/2003,
8,4:11.09,Michael Phelps,US,NBAC,,2002 Summer Nationals,8/15/2002,
9,4:11.76,Tom Dolan,PV,NCAP,,2000 Olympic Games,9/17/2000,
10,4:12.30,Tom Dolan,PV,NCAP,,1994 World Champs,9/6/1994,
11,4:13.52,Tom Dolan,PV,NCAP,,,4/1/1994,
12,4:14.50,Eric Namesnik,MI,W,,,7/28/1993,
13,4:15.21,Eric Namesnik,MI,W,,1991 World Champs,1/8/1991,
14,4:15.57,Eric Namesnik,MI,W,,1990 National Champs,7/30/1990,
15,4:15.78,Eric Namesnik,MI,W,,,7/30/1990,
16,4:15.93,Dave Wharton,OH,NAAC,,1989 National Champs,8/2/1989,
17,4:16.12,Dave Wharton,OH,NAAC,,,8/14/1987,
18,4:17.81,Dave Wharton,OH,NAAC,,1987 National Champs,7/29/1987,
19,4:18.45,Dave Wharton,OH,NAAC,,,7/29/1987,
20,4:18.77,Dave Wharton,OH,NAAC,,,6/23/1986,
21,4:20.05,Jesse Vassallo,FG,UN,,1978 World Champs,8/22/1978,
22,4:23.68,Rodney Strachan,US,UN,,1976 Olympic Games,7/25/1976,
23,4:26.79,Rodney Strachan,US,UN,,1976 Olympic Trials,6/17/1976,
24,4:28.11,Tim McKee,US,UN,,,6/17/1976,
25,4:30.56,Steven Furniss,US,UN,,1974 National Champs,8/23/1974,
26,4:30.81,Gary Hall,AZ,PSC,,1972 National Champs,8/3/1972,
27,4:31.00,Gary Hall,AZ,PSC,,,8/21/1970,
