,Time,Name,Club,Date
0,0:26.42,Nuno Filipe Laurentino,fpn,28.07.99
1,0:26.38,Nuno Filipe Laurentino,fpn,28.07.99
2,0:26.24,Nuno Filipe Laurentino,fpn,29.07.99
3,0:26.19,Nuno Filipe Laurentino,fpn,06.04.00
4,0:26.13,Nuno Filipe Laurentino,fpn,06.07.00
5,0:26.02,Nuno Filipe Laurentino,fpn,31.07.02
6,0:25.99,Nuno Filipe Laurentino,fpn,31.07.02
7,0:25.88,Alexis Manacas Santos,fpn,23.05.12
8,0:25.78,Alexis Manacas Santos,fpn,03.08.13
9,0:25.70,Alexis Manacas Santos,fpn,08.08.15
10,0:25.54,Alexis Manacas Santos,scp,20.12.15
11,0:25.49,Alexis Manacas Santos,scp,22.03.18
12,0:25.44,Alexis Manacas Santos,scp,14.04.19
13,0:25.42,Alexis Manacas Santos,scp,01.08.19
14,0:25.28,Alexis Manacas Santos,fpn,17.05.21
