,Time,Name,Club,Date
0,5:23.9,Antonio Bessone Basto,fpn,19.08.62
1,5:19.7,Antonio Bessone Basto,fpn,14.10.64
2,5:13.6,Henrique Carvalho Vicencio,slb,11.08.74
3,5:13.4,Antonio Botelho de Melo,cac,21.08.75
4,5:03.8,Antonio Botelho de Melo,fpn,05.06.76
5,4:58.69,Paulo Jose Frischknecht,sad,06.08.77
6,4:56.20,Paulo Jose Frischknecht,sad,05.08.78
7,4:54.50,Jose Baltar Leite,fpn,06.04.79
8,4:51.75,Jose Baltar Leite,fpn,18.04.80
9,4:48.2,Rui Pinto Abreu,anc,03.05.80
10,4:45.93,Vasco Castro Sousa,fpn,15.04.82
11,4:42.67,Rui Paulo Borges,fpn,15.04.83
12,4:39.22,Rui Paulo Borges,fpn,16.03.84
13,4:36.94,Rui Paulo Borges,fcp,02.03.86
14,4:35.26,Rui Paulo Borges,fpn,02.05.87
15,4:31.39,Rui Paulo Borges,fpn,19.08.87
16,4:30.79,Rui Paulo Borges,fpn,20.09.88
17,4:29.47,Duarte Rafael Mourao,gesl,26.03.04
18,4:28.10,Duarte Rafael Mourao,gesl,18.03.05
19,4:26.42,Carlos Esteves Almeida,fpn,01.04.07
20,4:24.58,Carlos Esteves Almeida,fpn,09.12.07
21,4:23.89,Carlos Esteves Almeida,fpn,24.03.08
22,4:19.54,Diogo Filipe Carvalho,cga,28.03.09
23,4:18.08,Diogo Filipe Carvalho,fpn,02.08.09
24,4:16.30,Alexis Manacas Santos,fpn,04.08.13
25,4:15.84,Alexis Manacas Santos,fpn,06.08.16
