,Time,Name,Club,Date
0,19:40.1,Eduardo Jose de Sousa,fpn,02.09.60
1,19:26.8,Antonio Bessone Basto,fpn,08.08.63
2,19:25.4,Antonio Botelho de Melo,apdm,12.04.73
3,19:05.3,Henrique Carvalho Vicencio,slb,25.07.73
4,18:31.6,Antonio Botelho de Melo,gdlm,18.08.73
5,18:29.9,Jose Guilherme Loureiro,cdna,11.03.74
6,18:25.3,Paulo Jose Frischknecht,sad,05.07.74
7,18:19.9,Antonio Botelho de Melo,gdlm,10.08.74
8,18:11.7,Paulo Jose Frischknecht,anl,16.08.74
9,17:41.9,Paulo Jose Frischknecht,sad,20.07.75
10,17:39.95,Antonio Botelho de Melo,fpn,10.08.75
11,17:34.8,Antonio Botelho de Melo,cac,22.08.75
12,17:24.31,Antonio Botelho de Melo,fpn,19.07.76
13,17:17.94,Jose Baltar Leite,fpn,20.05.77
14,17:15.53,Paulo Jose Frischknecht,sad,07.08.77
15,16:41.54,Jose Baltar Leite,fpn,19.08.77
16,16:38.90,Jose Baltar Leite,cfp,06.08.78
17,16:26.96,Jose Baltar Leite,fpn,24.08.78
18,16:20.95,Jose Baltar Leite,fpn,08.04.79
19,16:17.52,Jose Baltar Leite,fpn,20.04.80
20,16:16.91,Jose Baltar Leite,fpn,26.04.80
21,16:13.94,Jose Baltar Leite,fpn,16.06.80
22,16:08.76,Artur Manuel Costa,fpn,03.05.87
23,16:05.9,Artur Manuel Costa,scp,17.07.87
24,15:53.21,Artur Manuel Costa,fpn,22.08.87
25,15:50.23,Artur Manuel Costa,fpn,11.08.90
26,15:39.73,Artur Manuel Costa,fpn,02.12.90
27,15:35.98,Artur Manuel Costa,fpn,21.07.91
28,15:34.51,Fernando Eurico Costa,lsc,24.01.03
29,15:21.94,Fernando Eurico Costa,fpn,25.04.04
30,15:21.35,Fernando Eurico Costa,lsc,26.07.07
31,15:16.22,Fernando Eurico Costa,fpn,14.08.07
32,15:15.12,Guilherme Filipe Pina,scp,30.03.17
