,Time,Name,Club,Date
0,2:28.9,Luis Vaz Jorge,fpn,31.08.60
1,2:18.3,Vitor Manuel Fonseca,fpn,18.10.64
2,2:17.7,Vitor Manuel Fonseca,indu,30.08.67
3,2:16.43,Paulo Jose Frischknecht,fpn,22.05.77
4,2:13.23,Vitor Manuel Oliveira,fpn,17.06.78
5,2:11.33,Paulo Jose Frischknecht,fpn,26.04.80
6,2:09.51,Joao Mendes Santos,fpn,25.04.81
7,2:09.41,Joao Mendes Santos,fpn,11.09.81
8,2:06.46,Joao Mendes Santos,fpn,17.04.83
9,2:04.89,Joao Mendes Santos,fpn,26.08.83
10,2:04.72,Joao Mendes Santos,fpn,03.08.84
11,2:04.37,Joao Mendes Santos,fpn,22.08.86
12,2:03.96,Joao Mendes Santos,fpn,22.08.86
13,2:03.74,Joao Mendes Santos,fpn,22.08.87
14,2:03.36,Diogo Castro Madeira,fpn,15.03.92
15,2:03.15,Miguel Mendonca Cabrita,fpn,14.06.92
16,2:02.22,Diogo Castro Madeira,fpn,30.07.92
17,2:01.55,Diogo Castro Madeira,fpn,26.08.95
18,2:01.21,Diogo Castro Madeira,fpn,26.08.95
19,2:01.08,Simao Gomes Morgado,fpn,31.07.02
20,1:59.99,Luis Miguel Monteiro,fpn,31.07.02
21,1:59.67,Diogo Filipe Carvalho,fpn,27.03.07
22,1:59.00,Pedro Diogo Oliveira,fpn,20.03.08
23,1:57.41,Pedro Diogo Oliveira,fpn,11.08.08
24,1:56.71,Diogo Filipe Carvalho,fpn,02.04.09
25,1:56.17,Pedro Fontoura Oliveira,fpn,28.07.09
