"Time Name Club Date Place"
"1:27.3 José António Bacelar sclm 30.08.58 Praia das Maçãs"
"1:25.1 Vasco Ramos Cruz sad 03.09.67 Beja"
"1:24.1 José Manuel Conceição sad 03.09.67 Beja"
"1:21.7 Vítor Gama Cerqueira gdlm 03.09.67 Beja"
"1:20.9 Vítor Gama Cerqueira gdlm 18.08.68 Vila Franca de Xira"
"1:19.6 José Luís Nunes cfp 25.08.68 Beja"
"1:19.1 Vítor Gama Cerqueira fpn 20.07.69 Belém"
"1:18.1 José Luís Nunes cdna 15.03.70 Luanda"
"1:17.8 José Luís Nunes apda 29.03.70 Beira"
"1:16.3 José Luís Nunes cdna 07.01.71 Luanda"
"1:15.5 Carlos Alberto Oliveira fpn 27.07.72 Coimbra"
"1:15.1 Carlos Alberto Oliveira gdlm 20.08.72 Évora"
"1:14.6 Carlos Alberto Oliveira apdm 15.04.73 Luanda"
"1:14.0 Carlos Alberto Oliveira gdlm 26.08.73 Lisboa – Olivais"
"1:13.8 Henrique Carvalho Vicêncio fpn 18.01.75 Genebra"
"1:13.55 Henrique Carvalho Vicêncio fpn 19.07.76 Montréal"
"1:11.53 Jaime Sarabando Fidalgo fpn 06.04.79 Rio de Janeiro"
"1:11.00 Jaime Sarabando Fidalgo sad 06.08.79 Lisboa – Olivais"
"1:10.92 Jaime Sarabando Fidalgo fpn 18.04.80 Madrid"
"1:10.33 Alexandre Felske Yokochi fpn 05.07.80 Darmstadt"
"1:10.03 Alexandre Felske Yokochi fpn 14.02.81 Barcelona"
"1:08.95 Alexandre Felske Yokochi fpn 23.04.81 Guadalupe"
"1:08.3 Alexandre Felske Yokochi slb 08.08.81 Coimbra"
"1:07.44 Alexandre Felske Yokochi fpn 15.04.82 Buenos Aires"
"1:07.14 Alexandre Felske Yokochi fpn 15.04.83 Lisboa – Olivais"
"1:06.15 Alexandre Felske Yokochi fpn 06.08.85 Sofia"
"1:05.66 Alexandre Felske Yokochi fpn 18.09.88 Seul"
"1:05.59 Alexandre Felske Yokochi fpn 15.08.89 Bona"
"1:05.37 José Guilherme Couto fpn 19.07.95 Genebra"
"1:03.95 José Guilherme Couto fpn 19.08.97 Sevilha"
"1:02.78 José Guilherme Couto fpn 19.08.97 Sevilha"
"1:02.73 José Guilherme Couto fpn 19.08.97 Sevilha"
"1:02.50 José Guilherme Couto fpn 03.07.00 Helsínquia"
"1:02.50 José Guilherme Couto fpn 23.07.01 Fukuoka"
"1:02.17 José Guilherme Couto fpn 23.07.01 Fukuoka"
"1:02.13 Carlos Esteves Almeida fpn 24.07.11 Xangai"
"1:01.68 Carlos Esteves Almeida cna 02.12.11 Atlanta"
"1:01.44 Carlos Esteves Almeida cna 02.12.11 Atlanta"
"1:01.19 Carlos Esteves Almeida fpn 21.05.12 Debrecen"
"1:01.01 Carlos Esteves Almeida fpn 28.07.13 Barcelona"
