Time Name Club Date Place
3:02.4 Vasco Neto da Naia scbm 31.08.58 Praia das Maçãs
2:54.0 Luís Vaz Jorge fpn 01.08.63 Belém
2:53.8 Vítor Gama Cerqueira fpn 24.07.69 Fortaleza
2:53.5 José Luís Nunes cdna 26.02.70 Luanda
2:51.2 José Luís Nunes cdna 14.03.70 Luanda
2:49.9 José Luís Nunes cdna 17.03.70 Luanda
2:49.9 Carlos Alberto Oliveira gdlm 12.08.72 Coimbra
2:49.3 Carlos Alberto Oliveira gdlm 19.08.72 Évora
2:47.3 Luís Brito Rosa anl 13.04.73 Luanda
2:47.1 Carlos Alberto Oliveira apdm 13.04.73 Luanda
2:44.8 Henrique Carvalho Vicêncio fpn 09.08.73 Leeds
2:44.2 Carlos Alberto Oliveira indu 21.08.73 Moscovo
2:42.4 Henrique Carvalho Vicêncio sad 03.08.75 Lisboa – Olivais
2:41.97 Henrique Carvalho Vicêncio fpn 24.07.76 Montréal
2:40.20 Carlos Estevão Modesto sad 08.08.78 Lisboa – Olivais
2:38.28 Jaime Sarabando Fidalgo fpn 07.04.79 Rio de Janeiro
2:36.4 Alexandre Felske Yokochi slb 28.07.79 Matur
2:35.80 Jaime Sarabando Fidalgo sad 07.08.79 Lisboa – Olivais
2:32.45 Alexandre Felske Yokochi fpn 14.03.80 Barcelona
2:30.00 Alexandre Felske Yokochi fpn 19.04.80 Madrid
2:29.28 Alexandre Felske Yokochi fpn 06.07.80 Darmstadt
2:28.28 Alexandre Felske Yokochi fpn 10.08.80 Skövde
2:25.69 Alexandre Felske Yokochi fpn 24.04.81 Guadalupe
2:25.06 Alexandre Felske Yokochi fpn 07.09.81 Split
2:22.19 Alexandre Felske Yokochi fpn 16.04.82 Buenos Aires
2:19.76 Alexandre Felske Yokochi fpn 02.08.84 Los Angeles
2:19.63 Alexandre Felske Yokochi fpn 09.08.85 Sofia
2:18.92 Alexandre Felske Yokochi fpn 28.08.85 Kobe
2:17.99 Alexandre Felske Yokochi fpn 21.08.86 Madrid
2:17.91 Alexandre Felske Yokochi fpn 21.08.87 Estrasburgo
2:17.87 Alexandre Felske Yokochi fpn 23.09.88 Seul
2:17.28 José Guilherme Couto fpn 24.07.96 Atlanta
2:16.39 José Guilherme Couto fpn 22.08.97 Sevilha
2:14.90 José Guilherme Couto fpn 22.08.97 Sevilha
2:13.34 Carlos Esteves Almeida fpn 12.08.08 Pequim
2:13.21 Carlos Esteves Almeida fpn 01.08.13 Barcelona
