Time Name Club Date Place
1:06.7 Raul Ângelo Cerqueira fpn 30.08.60 Roma
1:06.0 António Botelho de Melo fpn 06.06.76 Neheim Hüsten
1:05.76 António Botelho de Melo fpn 18.07.76 Montréal
1:04.69 António Botelho de Melo fpn 21.05.77 Mulhouse
1:04.13 António Botelho de Melo fpn 17.08.77 Jönkoping
1:03.93 Rui Pinto Abreu fpn 21.01.78 Genebra
1:03.29 Rui Pinto Abreu fpn 21.01.78 Genebra
1:02.87 Rui Pinto Abreu cac 08.08.78 Lisboa – Olivais
1:01.84 Rui Pinto Abreu fpn 26.05.79 Seraing
1:01.55 Rui Pinto Abreu fpn 26.05.79 Seraing
1:00.62 Rui Pinto Abreu fpn 20.07.80 Moscovo
1:00.34 Rui Pinto Abreu fpn 23.04.81 Guadalupe
0:59.76 Pedro Ferreira Soares fpn 22.08.86 Madrid
0:59.37 Miguel Arrobas Silva fpn 30.07.92 Barcelona
0:59.18 Nuno Filipe Laurentino fpn 04.04.93 Florença
0:58.87 Nuno Filipe Laurentino slb 25.07.93 Lisboa – Restelo
0:58.59 Nuno Filipe Laurentino fpn 07.08.93 Sheffield
0:58.07 Nuno Filipe Laurentino fpn 10.09.94 Roma
0:57.23 Nuno Filipe Laurentino fpn 16.04.95 Belo Horizonte
0:56.56 Nuno Filipe Laurentino fpn 26.08.95 Viena
0:56.34 Alexis Manaças Santos fpn 04.12.11 Eindhoven
0:56.26 Alexis Manaças Santos fpn 04.12.11 Eindhoven
0:55.83 Pedro Diogo Oliveira fpn 21.05.12 Debrecen
0:55.80 Pedro Diogo Oliveira fpn 12.04.14 Palma Maiorca
0:55.55 Pedro Diogo Oliveira fpn 13.12.14 Amesterdão
0:55.55 Pedro Diogo Oliveira esjb 03.04.15 Coimbra
0:55.46 Pedro Diogo Oliveira esjb 03.04.15 Coimbra
0:55.01 Gabriel José Lopes aln 31.03.17 Coimbra
