"Time Name Club Date Place"
"2:27.9 António Bessone Basto fpn 08.07.62 Barcelona"
"2:26.65 António Botelho de Melo fpn 24.07.76 Montréal"
"2:24.2 António Botelho de Melo cac 12.08.76 Lisboa – Olivais"
"2:23.32 António Botelho de Melo fpn 22.05.77 Mulhouse"
"2:22.85 Jacob Carlos Frischknecht fpn 29.07.78 Florença"
"2:15.23 Rui Pinto Abreu cac 05.08.78 Lisboa – Olivais"
"2:11.08 Rui Pinto Abreu fpn 24.04.81 Guadalupe"
"2:10.04 Pedro Ferreira Soares fpn 19.08.86 Madrid"
"2:09.68 Miguel Arrobas Silva fpn 01.08.91 Antuérpia"
"2:09.24 Miguel Arrobas Silva fpn 01.08.91 Antuérpia"
"2:06.88 Miguel Arrobas Silva fpn 14.03.92 Sarcelles"
"2:06.72 Miguel Arrobas Silva fpn 15.03.92 Sarcelles"
"2:06.02 Miguel Arrobas Silva fpn 28.07.92 Barcelona"
"2:05.17 Nuno Filipe Laurentino slb 22.07.93 Lisboa – Restelo"
"2:04.85 Nuno Filipe Laurentino fpn 07.09.94 Roma"
"2:03.81 Nuno Filipe Laurentino fpn 24.08.95 Viena"
"2:03.46 Nuno Filipe Laurentino fpn 24.08.95 Viena"
"2:03.00 Mário Moura Carvalho fpn 07.07.00 Helsínquia"
"2:02.96 Pedro Diogo Oliveira fpn 07.07.06 Palma de Maiorca"
"2:02.75 Pedro Diogo Oliveira fpn 07.07.06 Palma de Maiorca"
"2:02.21 Pedro Diogo Oliveira cnrm 28.07.06 Coimbra"
"2:01.98 Pedro Diogo Oliveira fpn 01.12.06 Barcelona"
"2:00.62 Pedro Diogo Oliveira fpn 29.03.07 Melbourne"
"2:00.33 Pedro Diogo Oliveira ind 31.03.12 Indianapolis"
"1:59.72 Pedro Diogo Oliveira fpn 25.05.12 Debrecen"
"1:58.83 Pedro Diogo Oliveira fpn 01.08.12 Londres"
