"Time Name Club Date Place"
"3:26.8 José Baltazar Tavares lgc 22.07.67 Évora"
"3:12.6 Eduardo Pereira dos Santos jsc 23.07.67 Évora"
"2:46.7 Joaquim Ferreira Alves sad 02.09.67 Beja"
"2:40.4 Francisco Bessone Alves sad 01.08.68 Lisboa – Olivais"
"2:39.3 Júlio Pais Ribeiro gdlm 18.08.68 Vila Franca de Xira"
"2:36.1 Joaquim Ferreira Alves sad 24.08.68 Beja"
"2:35.5 Francisco Bessone Alves fpn 20.07.69 Belém"
"2:35.2 Francisco Bessone Alves fpn 05.08.71 Madrid - C. Campo"
"2:34.9 Francisco Bessone Alves ind 28.08.71 Coimbra"
"2:33.3 Carlos Alberto Oliveira fpn 27.07.72 Coimbra"
"2:33.1 Francisco Bessone Alves ind 19.08.72 Évora"
"2:32.8 Francisco Bessone Alves anl 15.04.73 Luanda"
"2:29.9 Henrique Carvalho Vicêncio slb 11.07.73 Lisboa – Olivais"
"2:28.2 Henrique Carvalho Vicêncio slb 08.08.73 Leeds"
"2:28.1 Henrique Carvalho Vicêncio slb 01.07.74 Lisboa – Olivais"
"2:26.3 Henrique Carvalho Vicêncio slb 09.08.74 Lisboa – Olivais"
"2:23.9 Paulo José Frischknecht sad 02.08.75 Lisboa – Olivais"
"2:23.94 Paulo José Frischknecht fpn 08.08.75 Genebra"
"2:22.03 Rui Pinto Abreu fpn 05.08.76 Oslo"
"2:19.8 Rui Pinto Abreu cac 14.08.76 Lisboa – Olivais"
"2:17.41 Rui Pinto Abreu fpn 18.08.77 Jönkoping"
"2:16.21 Rui Pinto Abreu fpn 17.06.78 Linz"
"2:15.82 Rui Pinto Abreu cac 07.08.78 Lisboa – Olivais"
"2:15.26 Rui Pinto Abreu fpn 17.08.78 Berlim Ocidental"
"2:12.87 Rui Pinto Abreu fpn 24.08.78 Berlim Ocidental"
"2:12.66 Rui Pinto Abreu fpn 27.05.79 Seraing"
"2:12.59 Rui Paulo Borges fpn 11.08.85 Sofia"
"2:12.53 Vasco Castro Sousa fpn 15.02.86 Barcelona"
"2:12.52 Vasco Castro Sousa fpn 15.02.86 Barcelona"
"2:12.40 Rui Paulo Borges fcp 01.03.86 Lisboa – Olivais"
"2:11.28 Rui Paulo Borges fcp 01.08.86 Lisboa – Olivais"
"2:10.23 Vasco Castro Sousa fpn 23.08.86 Madrid"
"2:10.21 Diogo Castro Madeira fpn 25.09.88 Seul"
"2:09.65 Diogo Castro Madeira fpn 20.08.89 Bona"
"2:09.64 Diogo Castro Madeira fpn 06.04.90 La Paz BC"
"2:09.03 Rui Paulo Borges fcp 09.08.91 Lisboa – Olivais"
"2:08.56 Diogo Castro Madeira fpn 15.03.92 Sarcelles"
"2:07.38 Diogo Castro Madeira fpn 31.07.92 Barcelona"
"2:06.81 Nuno Filipe Laurentino sad 10.01.99 Jamor"
"2:06.44 Nuno Filipe Laurentino sad 28.07.00 Lisboa – Restelo"
"2:05.87 Ricardo Jorge Coxo sfuap 24.03.01 Jamor"
"2:02.80 Nuno Filipe Laurentino sad 11.05.02 Jamor"
"2:02.41 Diogo Filipe Carvalho fpn 12.04.07 Cádiz"
"2:00.40 Diogo Filipe Carvalho fpn 19.03.08 Eindhoven"
"1:59.96 Diogo Filipe Carvalho fpn 05.04.09 Málaga"
"1:59.54 Diogo Filipe Carvalho fpn 07.04.11 Eindhoven"
"1:59.51 Diogo Filipe Carvalho fpn 27.07.11 Xangai"
"1:59.39 Diogo Filipe Carvalho fpn 31.07.13 Barcelona"
"1:58.88 Alexis Manaças Santos scp 01.04.17 Coimbra"
