Time Name Club Date Place
1:08.6 Luís Vaz Jorge fpn 31.08.60 Roma
1:04.4 Vítor Manuel Fonseca fpn 01.08.63 Belém
1:01.8 Vítor Manuel Fonseca indu 29.08.67 Tóquio
1:01.55 Paulo José Frischknecht fcp 23.01.76 Genebra
1:01.20 Paulo José Frischknecht fpn 08.08.76 Oslo
0:59.98 Paulo José Frischknecht fpn 18.08.77 Jönkoping
0:59.52 Paulo José Frischknecht fpn 26.08.78 Berlim Ocidental
0:59.39 Paulo José Frischknecht fpn 27.05.79 Seraing
0:57.94 Paulo José Frischknecht fpn 22.07.80 Moscovo
0:57.87 João Mendes Santos fpn 23.08.83 Roma
0:57.61 João Mendes Santos fpn 18.08.86 Madrid
0:57.33 Mabílio António Albuquerque fpn 01.04.88 Tenerife
0:57.0 Paulo António Camacho fpn 01.04.88 Tenerife
0:56.79 Paulo António Camacho cnf 25.03.89 Casablanca
0:56.78 Paulo António Camacho fpn 01.12.90 Indianapolis
0:56.66 Paulo António Camacho cnf 24.07.93 Lisboa – Restelo
0:56.49 Paulo António Camacho cnf 24.07.93 Lisboa – Restelo
0:56.45 Miguel Mendonça Cabrita fpn 04.08.93 Sheffield
0:56.44 Simão Gomes Morgado fpn 31.07.97 Glasgow
0:56.25 Simão Gomes Morgado cna 01.08.98 Jamor
0:55.62 Nuno Filipe Laurentino sad 09.01.99 Jamor
0:55.52 Simão Gomes Morgado fpn 11.04.99 Guadalupe
0:55.45 Simão Gomes Morgado fpn 30.07.99 Istambul
0:55.19 Simão Gomes Morgado cna 07.08.99 Famalicão
0:55.13 Simão Gomes Morgado fpn 07.04.00 Luxemburgo
0:54.92 Simão Gomes Morgado fpn 28.05.00 Sheffield
0:54.91 Simão Gomes Morgado fpn 28.05.00 Sheffield
0:54.69 Simão Gomes Morgado fpn 07.07.00 Helsínquia
0:54.68 Simão Gomes Morgado cna 25.03.01 Jamor
0:54.64 Simão Gomes Morgado fpn 25.07.01 Fukuoka
0:54.44 Ricardo Jorge Coxo fpn 14.04.02 Greve
0:54.40 Nuno Filipe Laurentino sad 10.05.02 Jamor
0:54.27 Simão Gomes Morgado fpn 02.08.02 Berlim
0:53.79 Simão Gomes Morgado fpn 02.08.02 Berlim
0:53.69 Simão Gomes Morgado fpn 15.05.04 Luxemburgo
0:53.53 Simão Gomes Morgado fpn 19.08.04 Atenas
0:53.14 Simão Gomes Morgado fpn 22.03.08 Eindhoven
0:52.80 Simão Gomes Morgado fpn 14.08.08 Pequim
0:52.42 Diogo Filipe Carvalho cga 29.03.09 Lisboa – E. Universitário
