,Time,Name,Date
0,27.61,Alexander Dzhaburiya,27 April 1996
1,27.49,Anthony Robinson,29 March 2001
2,27.39,Ed Moses,31 March 2001
3,27.18,Oleg Lisogor,2 August 2002
4,27.06,Cameron van der Burgh,18 April 2009
5,26.89,Felipe França,8 May 2009
6,26.74,Cameron van der Burgh,28 July 2009
7,26.67,Cameron van der Burgh,29 July 2009
8,26.62,Adam Peaty,18 August 2014
9,26.62,Cameron van der Burgh,4 August 2015
10,26.42,Adam Peaty,4 August 2015
11,26.1,Adam Peaty,25 July 2017
12,25.95,Adam Peaty,25 July 2017
