,Time,Name,Date
0,2:19.0,Mike Troy,"July 11, 1959"
1,2:16.4,Mike Troy,"July 11, 1959"
2,2:15.0,Mike Troy,"July 10, 1960"
3,2:13.4,Mike Troy,"July 23, 1960"
4,2:13.2,Mike Troy,"August 4, 1960"
5,2:12.8,Mike Troy,"September 2, 1960"
6,2:12.6,Carl Robie,"August 19, 1961"
7,2:12.5,Kevin Berry,"February 20, 1962"
8,2:12.4,Carl Robie,"August 11, 1962"
9,2:10.8,Carl Robie,"August 11, 1962"
10,2:09.7,Kevin Berry,"October 23, 1962"
11,2:08.4,Kevin Berry,"January 12, 1963"
12,2:08.2,Carl Robie,"March 18, 1963"
13,2:06.9,Kevin Berry,"March 29, 1964"
14,2:06.6,Kevin Berry,"October 18, 1964"
15,2:06.4,Mark Spitz,"July 26, 1967"
16,2:06.0,John Ferris,"August 30, 1967"
17,2:05.7,Mark Spitz,"October 8, 1967"
18,2:05.4,Mark Spitz,"August 22, 1970"
19,2:05.0,"Gary Hall, Sr.","August 22, 1970"
20,2:03.9,Mark Spitz,"August 27, 1971"
21,2:03.3,Hans-Joachim Fassnacht,"August 31, 1971"
22,2:01.87,Mark Spitz,"August 2, 1972"
23,2:01.53,Mark Spitz,"August 2, 1972"
24,2:00.70,Mark Spitz,"August 28, 1972"
25,2:00.21,Roger Pyttel,"June 3, 1976"
26,1:59.63,Roger Pyttel,"June 3, 1976"
27,1:59.23,Mike Bruner,"July 18, 1976"
28,1:58.21,Craig Beardsley,"July 30, 1980"
29,1:58.01,Craig Beardsley,"August 22, 1981"
30,1:57.05,Michael Gross,"August 26, 1983"
31,1:57.04,Jon Sieben,"August 3, 1984"
32,1:57.01,Michael Gross,"June 29, 1985"
33,1:56.65,Michael Gross,"August 10, 1985"
34,1:56.24,Michael Gross,"June 28, 1986"
35,1:55.69,Melvin Stewart,"January 12, 1991"
36,1:55.22,Denis Pankratov,"June 14, 1995"
37,1:55.18,Tom Malchow,"June 17, 2000"
38,1:54.92,Michael Phelps,"March 30, 2001"
39,1:54.58,Michael Phelps,"July 24, 2001"
40,1:53.93,Michael Phelps,"July 22, 2003"
41,1:53.80,Michael Phelps,"August 17, 2006"
42,1:53.71,Michael Phelps,"February 17, 2007"
43,1:52.09,Michael Phelps,"March 28, 2007"
44,1:52.03,Michael Phelps,"August 13, 2008"
45,1:51.51,Michael Phelps,"July 29, 2009"
46,1:50.73,KristÃ³f MilÃ¡k,"July 24, 2019"
47,1:50.34,KristÃ³f MilÃ¡k,"June 21, 2022"
