,Time,Name,Nationality,Date
0,22:48.4,Henry Taylor,Great Britain,"jul. 25, 1908"
1,22:00.0,George Hodgson,Canada,"jul. 10, 1912"
2,21:35.3,Arne Borg,Sweden,"jul. 8, 1923"
3,21:15.0,Arne Borg,Sweden,"jan. 30, 1924"
4,21:11.4,Arne Borg,Sweden,"jul. 13, 1924"
5,20:06.6,Boy Charlton,Australia,"jul. 15, 1924"
6,20:04.4,Arne Borg,Sweden,"Aug 18, 1926"
7,19:07.2,Arne Borg,Sweden,"Sep 2, 1927"
8,18:58.8,Tomikatsu Amano,Japan,"Aug 10, 1938"
9,18:35.7,Shiro Hashizume,Japan,"Aug 16, 1949"
10,18:19.0,Hironoshin Furuhashi,Japan,"Aug 16, 1949"
11,18:05.9,George Breen,United States,"May 3, 1956"
12,17:59.5,Murray Rose,Australia,"Oct 30, 1956"
13,17:52.9,George Breen,United States,"Dec 5, 1956"
14,17:28.7,John Konrads,Australia,"Feb 22, 1958"
15,17:11.0,John Konrads,Australia,"Feb 27, 1960"
16,17:05.5,Roy Saari,United States,"Aug 17, 1963"
17,17:01.8,Murray Rose,Australia,"Aug 2, 1964"
18,16:58.7,Roy Saari,United States,"Sep 2, 1964"
19,16:58.6,Stephen Krause,United States,"Aug 15, 1965"
20,16:41.6,Michael Burton,United States,"Aug 21, 1966"
21,16:34.1,Michael Burton,United States,"Aug 13, 1967"
22,16:28.1,Guillermo Echevarria,Mexico,"jul. 7, 1968"
23,16:08.57,Michael Burton,United States,"Sep 3, 1968"
24,16:04.5,Michael Burton,United States,"Aug 17, 1969"
25,15:57.10,John Kinsella,United States,"Aug 23, 1970"
26,15:52.91,Rick DeMont,United States,"Aug 6, 1972"
27,15:52.58,Michael Burton,United States,"Sep 4, 1972"
28,15:37.80,Stephen Holland,Australia,"Aug 5, 1973"
29,15:31.85,Stephen Holland,Australia,"Sep 8, 1973"
30,15:31.75,Tim Shaw,United States,"Aug 25, 1974"
31,15:27.79,Stephen Holland,Australia,"jan. 25, 1975"
32,15:20.91,Tim Shaw,United States,"jun. 21, 1975"
33,15:10.89,Stephen Holland,Australia,"Feb 27, 1976"
34,15:06.66,Brian Goodell,United States,"jun. 21, 1976"
35,15:02.40,Brian Goodell,United States,"jul. 20, 1976"
36,14:58.27,Vladimir Salnikov,Soviet Union,"jul. 22, 1980"
37,14:56.35,Vladimir Salnikov,Soviet Union,"mar. 13, 1982"
38,14:54.76,Vladimir Salnikov,Soviet Union,"Feb 22, 1983"
39,14:53.59,Glen Housman,Australia,"Dec 13, 1989"
40,14:50.36,Jörg Hoffmann,Germany,"jan. 13, 1991"
41,14:48.40,Kieren Perkins,Australia,"Apr 5, 1992"
42,14:43.48,Kieren Perkins,Australia,"jul. 31, 1992"
43,14:41.66,Kieren Perkins,Australia,"Aug 24, 1994"
44,14:34.56,Grant Hackett,Australia,"jul. 29, 2001"
45,14:34.14,Sun Yang,China,"jul. 31, 2011"
46,14:31.02,Sun Yang,China,"Aug 4, 2012"
