,Time,Name,Date
0,5:36.80,Henry Taylor,16 jul. 1908
1,5:35.80,Sydney Battersby,21 Sep 1911
2,5:29.00,Alajos Kenyery,21 Apr 1912
3,5:28.40,Bela Las-Torres,5 jun. 1912
4,5:24.40,George Hodgson,14 jul. 1912
5,5:21.60,Jack Hatfield,26 Sep 1912
6,5:14.60,Norman Ross,9 Oct 1919
7,5:14.40,Norman Ross,25 Sep 1921
8,5:11.80,Arne Borg,9 Apr 1922
9,5:06.60,Johnny Weissmuller,22 jun. 1922
10,4:57.00,Johnny Weissmuller,6 mar. 1923
11,4:54.70,Arne Borg,9 Dec 1924
12,4:50.30,Arne Borg,11 Sep 1925
13,4:47.00,Jean Taris,16 Apr 1931
14,4:46.40,Shozo Makino,14 Aug 1933
15,4:38.70,Jack Medica,30 Aug 1934
16,4:38.50,Bill Smith,13 May 1941
17,4:35.20,Alex Jany,12 Sep 1947
18,4:34.60,Hironoshin Furuhashi,24 jul. 1949
19,4:33.30,Hironoshin Furuhashi,18 Aug 1949
20,4:33.10,John Marshall,11 mar. 1950
21,4:29.50,John Marshall,1 Apr 1950
22,4:26.90,John Marshall,24 mar. 1951
23,4:26.70,Ford Konno,3 Apr 1954
24,4:27.00,Murray Rose,27 Oct 1956
25,4:25.90,Murray Rose,12 jan. 1957
26,4:25.90,John Konrads,15 jan. 1958
27,4:21.80,John Konrads,12 jan. 1959
28,4:19.00,John Konrads,7 Feb 1959
29,4:16.60,Tsuyoshi Yamanaka,26 jul. 1959
30,4:15.90,John Konrads,23 Feb 1960
31,4:13.40,Murray Rose,17 Aug 1962
32,4:12.70,Don Schollander,31 jul. 1964
33,4:12.20,Don Schollander,15 Oct 1964
34,4:11.80,John Nelson,18 Aug 1966
35,4:11.60,Don Schollander,18 Aug 1966
36,4:11.10,Frank Wiegand,25 Aug 1966
37,4:10.60,Mark Spitz,25 jun. 1967
38,4:09.20,Alain Mosconi,4 jul. 1967
39,4:08.80,Mark Spitz,7 jul. 1967
40,4:08.20,Greg Charlton,28 Aug 1967
41,4:07.70,Mark Spitz,23 jun. 1968
42,4:06.50,Ralph Hutton,1 Aug 1968
43,4:04.00,Hans-Joachim Fassnacht,14 Aug 1969
44,4:02.80,John Kinsella,20 Aug 1970
45,4:02.60,Gunnar Larsson,7 Sep 1970
46,4:02.10,Tom McBreen,25 Aug 1971
47,4:01.70,Brad Cooper,12 Feb 1972
48,4:00.11,Kurt Krumpholz,4 Aug 1972
49,3:58.18,Rick DeMont,9 Sep 1973
50,3:56.96,Tim Shaw,22 Aug 1974
51,3:54.69,Tim Shaw,22 Aug 1974
52,3:53.95,Tim Shaw,19 jun. 1975
53,3:53.31,Tim Shaw,20 Aug 1975
54,3:53.08,Brian Goodell,18 jun. 1976
55,3:51.93,Brian Goodell,22 jul. 1976
56,3:51.56,Brian Goodell,27 Aug 1977
57,3:51.41,Vladimir Salnikov,6 Apr 1979
58,3:51.40,Vladimir Salnikov,19 Aug 1979
59,3:51.20,Vladimir Salnikov,29 Feb 1980
60,3:50.49,Peter Szmidt,15 jul. 1980
61,3:49.57,Vladimir Salnikov,12 mar. 1982
62,3:49.57,Vladimir Salnikov,14 jul. 1982
63,3:48.32,Vladimir Salnikov,19 Feb 1983
64,3:47.80,Michael Gross,27 jun. 1985
65,3:47.38,Artur Wojdat,25 mar. 1988
66,3:46.95,Uwe Dassler,23 Sep 1988
67,3:46.47,Kieren Perkins,3 Apr 1992
68,3:45.00,Yevgeny Sadovy,29 jul. 1992
69,3:43.80,Kieren Perkins,11 Sep 1994
70,3:41.83,Ian Thorpe,22 Aug 1999
71,3:41.33,Ian Thorpe,13 May 2000
72,3:40.59,Ian Thorpe,16 Sep 2000
73,3:40.17,Ian Thorpe,22 jul. 2001
74,3:40.08,Ian Thorpe,30 jul. 2002
75,3:40.07,Paul Biedermann,26 jul. 2009
