,Time,Name,Date
0,2:30.7,George Harrison,August 24 1956
1,2:29.1,Frank Brunnell,July 19 1958
2,2:26.2,Gary Heinrich,June 27 1959
3,2:24.7,Lance Larson,July 11 1959
4,2:22.2,John McGill,July 23 1960
5,2:22.1,Ted Stickles,July 23 1960
6,2:21.3,Ted Stickles,July 2 1961
7,2:20.5,Ted Stickles,July 22 1961
8,2:19.6,Ted Stickles,August 19 1961
9,2:15.9,Ted Stickles,August 19 1961
10,2:15.5,Dick Roth,August 2 1964
11,2:14.9,Dick Roth,August 15 1964
12,2:13.1,Greg Buckingham,July 24 1966
13,2:12.4,Greg Buckingham,August 21 1966
14,2:11.3,Greg Buckingham,August 23 1967
15,2:10.6,Charlie Hickcox,August 31 1968
16,2:09.6,Gary Hall,August 17 1969
17,2:09.5,Gary Hall,August 23 1970
18,2:09.3,Gunnar Larsson,September 12 1970
19,2:09.30,Gary Hall,August 2 1972
20,2:07.17,Gunnar Larsson,September 3 1972
21,2:06.32,David Wilkie,August 24 1974
22,2:06.32,Steve Furniss,September 1 1974
23,2:06.08,Bruce Furniss,August 23 1975
24,2:05.31,Graham Smith,August 4 1977
25,2:05.24,Aleksandr Sidorenko,July 9 1978
26,2:04.39,Steve Lundquist,August 2 1978
27,2:03.56,Graham Smith,August 24 1978
28,2:03.29,Jesse Vassallo,July 6 1979
29,2:03.24,Bill Barrett,August 1 1980
30,2:03.01,Jeremy Reingold,September 26 1980
31,2:02.78,Alex Baumann,July 29 1981
32,2:02.25,Alex Baumann,August 1 1982
33,2:01.42,Alex Baumann,August 4 1984
34,2:00.56,TamÃ¡s Darnyi,August 23 1987
35,2:00.17,TamÃ¡s Darnyi,September 25 1988
36,2:00.11,David Wharton,August 20 1989
37,1:59.36,TamÃ¡s Darnyi,January 13 1991
38,1:58.16,Jani Sievinen,September 11 1994
39,1:57.94,Michael Phelps,June 29 2003
40,1:57.52,Michael Phelps,July 24 2003
41,1:56.04,Michael Phelps,July 25 2003
42,1:55.94,Michael Phelps,August 9 2003
43,1:55.84,Michael Phelps,August 20 2006
44,1:54.98,Michael Phelps,March 29 2007
45,1:54.80,Michael Phelps,July 4 2008
46,1:54.23,Michael Phelps,August 15 2008
47,1:54.10,Ryan Lochte,July 30 2009
48,1:54.00,Ryan Lochte,July 28 2011
