,Time,Name,Date
0,2:28.60,Freddy Lane,"August 18, 1902"
1,2:26.80,Zoltan Halmay,"June 28, 1908"
2,2:31.60,Otto Scheff,"November 11, 1908"
3,2:30.00,FrankFrank Beaurepaire,"September 9, 1910"
4,2:25.40,Charles Daniels,"March 28, 1911"
5,2:21.60,Norman Ross,"November 24, 1916"
6,2:19.80,Tedford Cann,"April 10, 1920"
7,2:15.60,Johnny Weissmuller,"May 26, 1922"
8,2:15.20,Johnny Weissmuller,"December 9, 1925"
9,2:08.00,Johnny Weissmuller,"April 5, 1927"
10,2:07.20,Jack Medica,"April 12, 1935"
11,2:06.20,Bill Smith,"February 12, 1944"
12,2:05.40,Alex Jany,"September 20, 1946"
13,2:04.60,John Marshall,"March 31, 1950"
14,2:03.90,Ford Konno,"February 27, 1954"
15,2:03.40,Jack Wardrop,"March 4, 1955"
16,2:01.50,Dick Hanley,"March 8, 1957"
17,2:04.80,John Konrads,"January 18, 1958"
18,2:03.20,John Konrads,"May 5, 1958"
19,2:03.00,Tsuyoshi Yamanaka,"August 22, 1958"
20,2:02.20,John Konrads,"January 16, 1959"
21,2:01.50,Tsuyoshi Yamanaka,"July 26, 1959"
22,2:01.20,Tsuyoshi Yamanaka,"June 24, 1961"
23,2:01.10,Tsuyoshi Yamanaka,"August 6, 1961"
24,2:00.40,Tsuyoshi Yamanaka,"August 20, 1961"
25,2:00.40,Don Schollander,"August 11, 1962"
26,2:00.30,Bob Windle,"April 21, 1963"
27,1:58.80,Don Schollander,"July 27, 1963"
28,1:58.50,Don Schollander,"August 17, 1963"
29,1:58.40,Don Schollander,"August 24, 1963"
30,1:58.20,Hans-Joachim Klein,"May 24, 1964"
31,1:57.60,Don Schollander,"August 1, 1964"
32,1:57.20,Don Schollander,"July 29, 1966"
33,1:56.20,Don Schollander,"August 19, 1966"
34,1:56.00,Don Schollander,"July 29, 1967"
35,1:55.70,Don Schollander,"August 12, 1967"
36,1:54.80,Don Schollander,"August 30, 1968"
37,1:54.30,Don Schollander,"August 30, 1968"
38,1:54.30,Mark Spitz,"July 12, 1969"
39,1:54.20,Mark Spitz,"September 4, 1971"
40,1:53.50,Mark Spitz,"September 10, 1971"
41,1:52.78,Mark Spitz,"August 29, 1972"
42,1:51.66,Tim Shaw,"August 23, 1974"
43,1:51.41,Bruce Furniss,"June 18, 1975"
44,1:50.89,Bruce Furniss,"June 18, 1975"
45,1:50.32,Bruce Furniss,"August 21, 1975"
46,1:50.29,Bruce Furniss,"July 19, 1976"
47,1:49.83,Sergey Kopliakov,"April 7, 1979"
48,1:49.16,Rowdy Gaines,"April 11, 1980"
49,1:48.93,Rowdy Gaines,"July 19, 1982"
50,1:48.28,Michael Gross,"June 21, 1983"
51,1:47.87,Michael Gross,"August 22, 1983"
52,1:47.55,Michael Gross,"June 8, 1984"
53,1:47.44,Michael Gross,"July 29, 1984"
54,1:47.25,Duncan Armstrong,"September 19, 1988"
55,1:46.69,Giorgio Lamberti,"August 15, 1989"
56,1:46.67,Grant Hackett,"March 23, 1999"
57,1:46.34,Ian Thorpe,"August 23, 1999"
58,1:46.00,Ian Thorpe,"August 24, 1999"
59,1:45.69,Ian Thorpe,"May 14, 2000"
60,1:45.51,Ian Thorpe,"May 15, 2000"
61,1:45.35,Pieter van den Hoogenband,"September 17, 2000"
62,1:45.35,Pieter van den Hoogenband,"September 18, 2000"
63,1:44.69,Ian Thorpe,"March 27, 2001"
64,1:44.06,Ian Thorpe,"July 25, 2001"
65,1:43.86,Michael Phelps,"March 27, 2007"
66,1:42.96,Michael Phelps,"August 12, 2008"
67,1:42.00,Paul Biedermann,"July 28, 2009"
